titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
IBS El Amien II	ibs_el_amien_ii_1		0000-00-00 00:00:00	Van Gentstraat 16a	1055 PE		POINT(4.8518901 52.3830414)		Amsterdam	Basisschool	PO	IBS El Amien II	Islamitisch		Van Gentstraat 16a	1055 PE	Amsterdam	Admiraal De Ruijterweg 410	1055ND Amsterdam	774 67 24		m.balasar@elamien.nl	www.elamien.nl	mw. M. Balasar	West	27MB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27MB00.htm
Daltonschool Neptunus	daltonschool_neptunus		0000-00-00 00:00:00	Piet Zwarthof 2	1087 AX		POINT(4.9909701 52.3595695)		Amsterdam	Basisschool	PO	Daltonschool Neptunus	Protestants Christelijk	Dalton	Piet Zwarthof 2	1087 AX	Amsterdam	Piet Zwarthof 2	1087AX Amsterdam	398 77 90		directie@daltonschoolneptunus.nl	www.daltonschoolneptunus.nl	mw. A. Genot	Oost	27NP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27NP00.htm
Willibrordschool IJburg	willibrordschool_ijburg		0000-00-00 00:00:00	Diemerparklaan 11	1087 EM		POINT(4.9935002 52.3544693)		Amsterdam	Basisschool	PO	Willibrordschool IJburg	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Diemerparklaan 11	1087 EM	Amsterdam	Diemerparklaan 11	1087EM Amsterdam	398 15 40	398 15 41	willibrord.info@askoscholen.nl	www.willibrordijburg.nl	E. Scheermeijer	Oost	27NV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27NV00.htm
Willibrordschool IJburg	willibrordschool_ijburg_1		0000-00-00 00:00:00	Franz Zieglerstraat 201	1087 HN		POINT(5.0065198 52.3531113)		Amsterdam	Basisschool	PO	Willibrordschool IJburg	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Franz Zieglerstraat 201	1087 HN	Amsterdam	Diemerparklaan 11	1087EM Amsterdam	344 30 10		willibrord.info@askoscholen.nl	www.willibrordijburg.nl	E. Scheermeijer	Oost	27NV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27NV00.htm
IBS Al Wafa	ibs_al_wafa		0000-00-00 00:00:00	Buskenblaserstraat 65	1055 AG		POINT(4.8481798 52.3775597)		Amsterdam	Basisschool	PO	IBS Al Wafa	Islamitisch	Ontwikkelingsgericht Onderwijs	Buskenblaserstraat 65	1055 AG	Amsterdam	Buskenblaserstraat 65	1055AG Amsterdam	486 16 38		info@alwafa.nl	www.alwafa.nl	dhr. M.L.  Bakas	West	27PR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27PR00.htm
IBS Al Wafa	ibs_al_wafa_1		0000-00-00 00:00:00	Harry Koningsbergerstraat 30	1063 AD		POINT(4.8367 52.3805885)		Amsterdam	Basisschool	PO	IBS Al Wafa	Islamitisch	Ontwikkelingsgericht Onderwijs	Harry Koningsbergerstraat 30	1063 AD	Amsterdam	Buskenblaserstraat 65	1055AG Amsterdam	411 79 05		info@alwafa.nl	www.alwafa.nl	dhr. M.L.  Bakas	West	27PR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27PR00.htm
Basisschool Piet Hein	basisschool_piet_hein		0000-00-00 00:00:00	Oostelijke Handelskade 6	1019 BM		POINT(4.9307199 52.3747406)		Amsterdam	Basisschool	PO	Basisschool Piet Hein	Algemeen Bijzonder		Oostelijke Handelskade 6	1019 BM	Amsterdam	Oostelijke Handelskade 6	1019BM Amsterdam	419 52 42	419 56 85	info@basisschoolpiethein.nl	www.basisschoolpiethein.nl	mw. T. Derriks	Oost	27PT00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27PT00.htm
ABBS De Zuiderzee	abbs_de_zuiderzee		0000-00-00 00:00:00	Brigantijnkade 51	1086 VB		POINT(4.9875002 52.3627892)		Amsterdam	Basisschool	PO	ABBS De Zuiderzee	Algemeen Bijzonder	Ontwikkelingsgericht Onderwijs	Brigantijnkade 51	1086 VB	Amsterdam	Brigantijnkade 51	1086VB Amsterdam	416 58 62		directie@abbsdezuiderzee.nl	www.abbsdezuiderzee.nl	R. van der Eijnden	Oost	27PU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27PU00.htm
Openbare Daltonschool De Kleine Kapitein	openbare_daltonschool_de_kleine_kapitein		0000-00-00 00:00:00	Tosaristraat 30A	1019 RT		POINT(4.9227099 52.3792114)		Amsterdam	Basisschool	PO	Openbare Daltonschool De Kleine Kapitein	Openbaar	Dalton	Tosaristraat 30A	1019 RT	Amsterdam	Tosaristraat 30A	1019RT Amsterdam	419 89 83		obsdekleinekapitein@yahoo.com	www.dekleinekapitein.nl	mw. Laura van der Hammen	Oost	27YK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/27YK00.htm
Oecumenische Basisschool De Odyssee	oecumenische_basisschool_de_odyssee		0000-00-00 00:00:00	Cycladenlaan 2	1060 LW		POINT(4.79281 52.3485718)		Amsterdam	Basisschool	PO	Oecumenische Basisschool De Odyssee	Protestants Christelijk	Ontwikkelingsgericht Onderwijs	Cycladenlaan 2	1060 LW	Amsterdam	Cycladenlaan 2	1060LW Amsterdam	667 17 62	619 28 31	info@deodyssee.nl	www.deodyssee.nl	mw. W. Veldman	Nieuw-West	28AJ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/28AJ00.htm
KBS Het Bovenland	kbs_het_bovenland		0000-00-00 00:00:00	Akersluis 1A	1066 ER		POINT(4.7943702 52.34375)		Amsterdam	Basisschool	PO	KBS Het Bovenland	Rooms Katholiek	Vernieuwend thematisch onderwijs met OGO als uitgangspunt.	Akersluis 1A	1066 ER	Amsterdam	Akersluis 1A	1066ER Amsterdam	408 46 86		bovenland.info@askoscholen.nl	www.hetbovenland.nl	mw. M. Kelderman	Nieuw-West	28AU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/28AU00.htm
Montessorischool Steigereiland	montessorischool_steigereiland		0000-00-00 00:00:00	John Hadleystraat 4	1086 WB		POINT(4.9821801 52.3609886)		Amsterdam	Basisschool	PO	Montessorischool Steigereiland	Openbaar	Montessori	John Hadleystraat 4	1086 WB	Amsterdam	John Hadleystraat 4	1086WB Amsterdam	416 16 77		directie@obssteigereiland.nl	www.obssteigereiland.nl	mw. E. Duijnker	Oost	28BA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/28BA00.htm
ABBS Elzenhagen	abbs_elzenhagen		0000-00-00 00:00:00	N. Lansdorpstraat 2	1022 KB		POINT(4.92978 52.405159)		Amsterdam	Basisschool	PO	ABBS Elzenhagen	Algemeen Bijzonder		N. Lansdorpstraat 2	1022 KB	Amsterdam	Postbus 36237	1020ME Amsterdam	637 38 48		info@abbs-elzenhagen.nl	www.abbs-elzenhagen.nl	dhr. W. van Vliet	Noord	28BZ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/28BZ00.htm
O.B.S. De Bongerd	o_b_s_de_bongerd		0000-00-00 00:00:00	Boomgaardlaan 102	1036 KJ		POINT(4.9025898 52.4072609)		Amsterdam	Basisschool	PO	O.B.S. De Bongerd	Openbaar		Boomgaardlaan 102	1036 KJ	Amsterdam	Boomgaardlaan 102	1036KJ Amsterdam	337 21 92		directie@obsbongerd.nl	www.obsdebongerd.nl	mw. Will van Rossum	Noord	28DD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/28DD00.htm
ABBS Het Podium	abbs_het_podium		0000-00-00 00:00:00	Emmy Andriessestraat 56	1087 MJ		POINT(5.00526 52.3495789)		Amsterdam	Basisschool	PO	ABBS Het Podium	Algemeen Bijzonder		Emmy Andriessestraat 56	1087 MJ	Amsterdam	Emmy Andriessestraat 56	1087MJ Amsterdam	416 72 22		directie@abbshetpodium.nl	www.abbshetpodium.nl	mw. A. Velthuis	Oost	29RV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/29RV00.htm
ABBS Het Podium	abbs_het_podium_1		0000-00-00 00:00:00	Johan Huijsenstraat 3	1087 LC		POINT(5.0077 52.3506012)		Amsterdam	Basisschool	PO	ABBS Het Podium	Algemeen Bijzonder		Johan Huijsenstraat 3	1087 LC	Amsterdam	Emmy Andriessestraat 56	1087MJ Amsterdam	416 51 00		directie@abbshetpodium.nl	www.abbshetpodium.nl	mw. A. Velthuis	Oost	29RV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/29RV00.htm
Basisschool Laterna Magica	basisschool_laterna_magica		0000-00-00 00:00:00	Eva Besny�straat 491	1087 LG		POINT(5.0082898 52.3499107)		Amsterdam	Basisschool	PO	Basisschool Laterna Magica	Openbaar		Eva Besny�straat 491	1087 LG	Amsterdam	Eva Besny�straat 491	1087LG Amsterdam	416 19 11		info@obslaternamagica.nl	www.laternamagica.info	mw. A.J. van  Valkengoed	Oost	29UA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/29UA00.htm
KBS De Archipel	kbs_de_archipel		0000-00-00 00:00:00	Franz Zieglerstraat 201	1087 HN		POINT(5.0065198 52.3531113)		Amsterdam	Basisschool	PO	KBS De Archipel	Rooms Katholiek	Ontwikkelingsgericht Onderwijs	Franz Zieglerstraat 201	1087 HN	Amsterdam	Frans Zieglerstraat 201	1087HN Amsterdam	314 02 80		archipel.info@askoscholen.nl	www.kbsdearchipel.nl	mw. A. Smedema	Oost	29XF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/29XF00.htm
Basisschool De Poseidon	basisschool_de_poseidon		0000-00-00 00:00:00	Franz Zieglerstraat 201	1087 HN		POINT(5.0065198 52.3531113)		Amsterdam	Basisschool	PO	Basisschool De Poseidon	Protestants Christelijk	Daltonschool	Franz Zieglerstraat 201	1087 HN	Amsterdam	Frans Zieglerstraat 201	1087HN Amsterdam	416 72 38		info@deposeidon.nl	www.deposeidon.nl	mw. A. van der Groen (dir.) en R. Spits (loc.leider)	Oost	30BB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30BB00.htm
O.B.S. Overhoeks	o_b_s_overhoeks		0000-00-00 00:00:00	Chrysantenstraat 28	1031 HT		POINT(4.9060402 52.39188)		Amsterdam	Basisschool	PO	O.B.S. Overhoeks	Openbaar		Chrysantenstraat 28	1031 HT	Amsterdam	Chrysantenstraat 28	1031HT Amsterdam	630 47 70		directie@obsoverhoeks.nl	www.obsoverhoeks.nl	mw. C. Siebeling en mw. M. Wiewel	Noord	30FG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30FG00.htm
EBS Tanisha	ebs_tanisha		0000-00-00 00:00:00	Beemsterstraat 526	1024 BV		POINT(4.9502401 52.3951187)		Amsterdam	Basisschool	PO	EBS Tanisha	Evangelisch		Beemsterstraat 526	1024 BV	Amsterdam	Postbus 36267	1020MG Amsterdam	634 18 69		info@ebstanisha.nl	www.ebstanisha.nl	mw. R. Soesman	Noord	30FT00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30FT00.htm
Basisschool De Ijsbreker	basisschool_de_ijsbreker		0000-00-00 00:00:00	Chrysantenstraat 26	1031 HT		POINT(4.9043899 52.3916512)		Amsterdam	Basisschool	PO	Basisschool De Ijsbreker	Samenwerking PC, RK	Dalton	Chrysantenstraat 26	1031 HT	Amsterdam	Chrysantenstraat 26	1031HT Amsterdam	636 96 43		ijsbreker.directie@askoscholen.nl	www.basisschooldeijsbreker.nl	mw. L. den Hartog	Noord	30GF00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30GF00.htm
Basisschool Witte Tulp	basisschool_witte_tulp		0000-00-00 00:00:00	Koos Vorrinkweg 3	1069 JR		POINT(4.8002801 52.3536186)		Amsterdam	Basisschool	PO	Basisschool Witte Tulp	Algemeen Bijzonder		Koos Vorrinkweg 3	1069 JR	Amsterdam	Koos Vorrinkweg 3	1069JR Amsterdam	613 84 82		info@bswittetulp.nl	www.bswittetulp.nl	dhr. Z. Pinarbasi	Nieuw-West	30GJ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30GJ00.htm
Centrale Opvang Nieuwkomers 7/8 Nellestein	centrale_opvang_nieuwkomers_7_8_nellestein		0000-00-00 00:00:00	Leksmondplein 31	1108 EL		POINT(4.9805799 52.3087997)		Amsterdam Zuidoost	Basisschool	PO	Centrale Opvang Nieuwkomers 7/8 Nellestein		(overkoepelend v/h primair onderwijs in Zuidoost)	Leksmondplein 31	1108 EL	Amsterdam Zuidoost	Leksmondplein 31	1108EL Amsterdam Zuidoost	06 12076257					Zuidoost	nvt	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/nvt.htm
Integraal Kind Centrum Zeeburgereiland	integraal_kind_centrum_zeeburgereiland		0000-00-00 00:00:00	Faas Wilkesstraat 451	1095 MD		POINT(4.96982 52.3722992)		Amsterdam	Basisschool	PO	Integraal Kind Centrum Zeeburgereiland	Openbaar	Integraal Kind Centrum	Faas Wilkesstraat 451	1095 MD	Amsterdam	Faas Wilkesstraat 451	1095MD Amsterdam	416 16 77		directie@ikczeeburgereiland.nl	www.ikczeeburgereiland.nl	mw. E. Duijnker	Oost	30PM00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30PM00.htm
Montessori IKC De Amstel	montessori_ikc_de_amstel		0000-00-00 00:00:00	Korte Ouderkerkerdijk  2	1096 AC		POINT(4.91398 52.3393593)		Amsterdam	Basisschool	PO	Montessori IKC De Amstel	Openbaar	Montessori Integraal Kind Centrum	Korte Ouderkerkerdijk  2	1096 AC	Amsterdam	Korte Ouderkerkerdijk  2	1096AC Amsterdam	370 67 05		info@ikcdeamstel.nl	www.ikcdeamstel.nl	mw. S. Reinold	Oost	30UP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/30UP00.htm
Professor Waterinkschool Onderbouwlocatie West	professor_waterinkschool_onderbouwlocatie_west		0000-00-00 00:00:00	Albardagracht 1	1063 NN		POINT(4.8130002 52.380619)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Professor Waterinkschool Onderbouwlocatie West	Protestants Christelijk	School verbonden aan een pedologisch instituut (REC, cluster 4)	Albardagracht 1	1063 NN	Amsterdam	Albardagracht 1	1063NN Amsterdam	613 85 85	613 03 48	infowest@professor-waterinkschool.nl	www.professor-waterinkschool.nl	mw. N. Hermans (dir.) en dhr. P.J. ten Berge (loc.leider)	Nieuw-West	05XA01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05XA01.htm
Professor Waterinkschool Hoofdlocatie	professor_waterinkschool_hoofdlocatie		0000-00-00 00:00:00	Kopjachtplein 19	1034 JG		POINT(4.9166002 52.4053497)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Professor Waterinkschool Hoofdlocatie	Protestants Christelijk	School verbonden aan een pedologisch instituut (REC, cluster 4)	Kopjachtplein 19	1034 JG	Amsterdam	Kopjachtplein 19	1034JG Amsterdam	679 86 27		infonoord@professor-waterinkschool.nl	www.professor-waterinkschool.nl	mw. N. Hermans (dir.) en mw. J. Stumpel (loc.leider)	Noord	05XA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05XA00.htm
Professor Waterinkschool Onderbouwlocatie Zuid	professor_waterinkschool_onderbouwlocatie_zuid		0000-00-00 00:00:00	Amsteldijk 196	1079 LK		POINT(4.9135499 52.3418694)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Professor Waterinkschool Onderbouwlocatie Zuid	Protestants Christelijk	School verbonden aan een pedologisch instituut (REC, cluster 4)	Amsteldijk 196	1079 LK	Amsterdam	Amsteldijk 196	1079LK Amsterdam	644 53 51	644 66 95	infozuid@professor-waterinkschool.nl	www.professor-waterinkschool.nl	mw. N. Hermans (dir.) en mw. J. van der Bijl (loc.leider)	Zuid	05XA03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05XA03.htm
Professor Waterinkschool Onderbouwlocatie Zuid-Oost	professor_waterinkschool_onderbouwlocatie_zuid_oost		0000-00-00 00:00:00	Leksmondplein 28	1108 EL		POINT(4.9798899 52.3086014)		Amsterdam Zuidoost	Middelbare school (Speciaal onderwijs)	(V)SO	Professor Waterinkschool Onderbouwlocatie Zuid-Oost	Protestants Christelijk	School verbonden aan een pedologisch instituut (REC, cluster 4)	Leksmondplein 28	1108 EL	Amsterdam Zuidoost	Leksmondplein 28	1108EL Amsterdam Zuidoost	453 01 91		infozuidoost@professor-waterinkschool.nl	www.professor-waterinkschool.nl	mw. N. Hermans (dir.) en mw. J. van der Bijl (loc.leider)	Zuidoost	05XA05	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/05XA05.htm
Altra College Amsterbaken 	altra_college_amsterbaken		0000-00-00 00:00:00	Transformatorweg 6	1014 AK		POINT(4.8615198 52.3935204)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College Amsterbaken 	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Transformatorweg 6	1014 AK	Amsterdam	Transformatorweg 6	1014AK Amsterdam	606 88 15		c.bulters@spirit.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en dhr. Martijn van Kordelaar  (afdelingsmanager)	Westpoort	07IQ01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ01.htm
Altra College (vso), De Koppeling	altra_college_vso_de_koppeling		0000-00-00 00:00:00	Tafelbergweg 8	1105 BN		POINT(4.9471598 52.2920609)		Amsterdam Zuidoost	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College (vso), De Koppeling	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Tafelbergweg 8	1105 BN	Amsterdam Zuidoost	Tafelbergweg 8	1105BN Amsterdam Zuidoost	342 84 00		c.bulters@spirit.nl	www.dekoppeling.com	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en dhr. Martijn van Kordelaar (afdelingsmanager)	Zuidoost	07IQ02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ02.htm
Altra College (vso), De Bascule	altra_college_vso_de_bascule		0000-00-00 00:00:00	Tafelbergweg 23	1105 BC		POINT(4.9543052 52.2897301)		Amsterdam Zuidoost	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College (vso), De Bascule	Algemeen Bijzonder	School verbonden aan de kinder en jeugdpsychiatrische instelling De Bascule	Tafelbergweg 23	1105 BC	Amsterdam Zuidoost	Tafelbergweg 23	1105BC Amsterdam Zuidoost	563 28 00		secr.12plus.bascule@altra.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en Mare van der Velden (afdelingsmanager)	Zuidoost	07IQ05	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ05.htm
Altra College Centrum (vso) 	altra_college_centrum_vso		0000-00-00 00:00:00	Konijnenstraat 7	1016 SL		POINT(4.8817501 52.3711395)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College Centrum (vso) 	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Konijnenstraat 7	1016 SL	Amsterdam	Konijnenstraat 7	1016SL Amsterdam	788 22 11		konijnenstraat@altracollege.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en mw. Nienke Pol (afdelingsmanager)	Centrum	07IQ06	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ06.htm
Altra College Noord (vso)	altra_college_noord_vso		0000-00-00 00:00:00	Purmerweg 116	1023 BB		POINT(4.9478998 52.3896599)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College Noord (vso)	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Purmerweg 116	1023 BB	Amsterdam	Purmerweg 116	1023BB Amsterdam	632 80 90	557 11 58	purmerweg@altracollege.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en dhr. Arthur Morsen (afdelingsmanager)	Noord	07IQ07	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ07.htm
Altra College Zuidoost (vso)	altra_college_zuidoost_vso		0000-00-00 00:00:00	Kortvoort 60	1104 NB		POINT(4.96978 52.3143005)		Amsterdam Zuidoost	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College Zuidoost (vso)	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Kortvoort 60	1104 NB	Amsterdam Zuidoost	Kortvoort 60	1104NB Amsterdam Zuidoost	555 84 44	555 84 45	secr.12plus.zuidoost@altra.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en Wilfred MacIntosh (afdelingsmanager)	Zuidoost	07IQ09	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ09.htm
Altra College West (vso)	altra_college_west_vso		0000-00-00 00:00:00	Louis Couperusstraat 131	1064 CE		POINT(4.8242798 52.3759117)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College West (vso)	Algemeen Bijzonder	Cluster 4 school voor leerlingen met gedrags en/of psychiatrische problemen.	Louis Couperusstraat 131	1064 CE	Amsterdam	Louis Couperusstraat 131	1064CE Amsterdam	611 70 87		couperusstraat@altracollege.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en mw. Yvette Martha (afdelingsmanager)	Nieuw-West	07IQ11	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ11.htm
Altra College School2Care	altra_college_school2care		0000-00-00 00:00:00	Van Moerkerkenstraat 89	1064 KC		POINT(4.8102498 52.3786316)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College School2Care	Algemeen Bijzonder	Richt zich op jongeren van 12 tot en met 17 jaar die veel spijbelen en probleemgedrag vertonen.	Van Moerkerkenstraat 89	1064 KC	Amsterdam	Van Moerkerkenstraat 89	1064KC Amsterdam	754 61 50		j.schut@school2care.nl	www.school2care.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en mw. Janet Schut (afdelingsmanager)	Nieuw-West	07IQ11	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ11.htm
Altra College Bleichrodt	altra_college_bleichrodt		0000-00-00 00:00:00	Tafelbergweg 23	1105 BC		POINT(4.9543052 52.2897301)		Amsterdam Zuidoost	Middelbare school (Speciaal onderwijs)	(V)SO	Altra College Bleichrodt	Algemeen Bijzonder	Voortgezet speciaal onderwijs op HAVO/VWO-niveau (cluster 4)	Tafelbergweg 23	1105 BC	Amsterdam Zuidoost	Tafelbergweg 23	1105BC Amsterdam Zuidoost	563 28 00	563 28 00	secr.12plus.bleichrodt@altra.nl	www.altracollege.nl	mw. Annette van der Poel en dhr. Joost van Caam (dir.) en Hanny Suidgeest (afdelingsmanager)	Zuid	07IQ15	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/07IQ15.htm
De Heldringschool SO	de_heldringschool_so		0000-00-00 00:00:00	Bosrankweg 1	1032 LH		POINT(4.8176498 52.3388901)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	De Heldringschool SO	Algemeen Bijzonder	School voor zeer moeilijk lerende kinderen (REC, cluster 3)	Bosrankweg 1	1032 LH	Amsterdam	Burgemeester Eliasstraat 20	1063EW Amsterdam	637 27 28	637 54 05	info@deheldringschool.nl	www.deheldringschool.nl	dhr. H. Kok (dir.) en mw. M. Stolwijk (adj.dir.)	Noord	12QB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12QB00.htm
De Heldringschool VSO	de_heldringschool_vso		0000-00-00 00:00:00	Burgemeester Eliasstraat 20	1063 EW		POINT(4.8270302 52.3793793)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	De Heldringschool VSO	Algemeen Bijzonder	School voor zeer moeilijk lerende kinderen (REC, cluster 3)	Burgemeester Eliasstraat 20	1063 EW	Amsterdam	Burgemeester Eliasstraat 20	1063EW Amsterdam	447 35 83	614 46 93	info@deheldringschool.nl	www.deheldringschool.nl	dhr. H. Kok (dir.) en mw. E. Montagne (adj.dir.)	Nieuw-West	12QB00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/12QB00.htm
Alphons Laudyschool - SO	alphons_laudyschool_so		0000-00-00 00:00:00	Meer en Vaart 9	1068 KV		POINT(4.8045802 52.3651695)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Alphons Laudyschool - SO	Rooms Katholiek	School voor zeer moeilijk lerende kinderen (REC, cluster 3)	Meer en Vaart 9	1068 KV	Amsterdam	Meer en Vaart 9	1068KV Amsterdam	410 66 22	404 10 73	meerenvaart@alphonslaudy.nl	www.alphonslaudy.nl	mw. F. Knol (dir.) en dhr. D. Peereboom (locatie dir.)	Nieuw-West	14UA	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14UA.htm
Alphons Laudyschool - VSO	alphons_laudyschool_vso		0000-00-00 00:00:00	Van Nijenrodeweg 648	1082 HZ		POINT(4.85816 52.3274002)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Alphons Laudyschool - VSO	Rooms Katholiek	School voor zeer moeilijk lerende kinderen (REC, cluster 3)	Van Nijenrodeweg 648	1082 HZ	Amsterdam	Van Nijenrodeweg 648	1082HZ Amsterdam	644 56 84	644 66 31	nijenrode@alphonslaudy.nl	www.alphonslaudy.nl	mw. F. Knol (dir.) en dhr. B. Vloedbeld (locatie dir.)	Zuid	14UA	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/14UA.htm
Professor Burgerschool	professor_burgerschool		0000-00-00 00:00:00	Jan Sluijtersstraat 5	1062 CJ		POINT(4.8384199 52.3597107)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Professor Burgerschool	Openbaar	School voor slechthorende kinderen (REC, cluster 2)	Jan Sluijtersstraat 5	1062 CJ	Amsterdam	Jan Sluijtersstraat 5	1062CJ Amsterdam	346 02 30		burgerschool@orion.nl	www.burgerschool.nl	mw. Drs. Y. Kesler	Nieuw-West	20WO00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20WO00.htm
Orion College West Locatie Eliasstraat	orion_college_west_locatie_eliasstraat		0000-00-00 00:00:00	Burgemeester Eliasstraat 76	1063 EX		POINT(4.8273401 52.3838806)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Orion College West Locatie Eliasstraat	Openbaar	School (VSO) voor leerlingen met communicatieve en auditieve problemen (REC, cluster 2)	Burgemeester Eliasstraat 76	1063 EX	Amsterdam	Burgemeester Eliasstraat 76	1063EX Amsterdam	611 12 13	684 24 02	orioncollegewest@orion.nl	www.orioncollegeamsterdam.nl	dhr. C.  Tetteroo	Nieuw-West	20WQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20WQ00.htm
Orion College West Locatie Zekeringstraat	orion_college_west_locatie_zekeringstraat		0000-00-00 00:00:00	Zekeringstraat 45	1014 BP		POINT(4.8487802 52.3957901)		Amsterdam	Middelbare school (Speciaal onderwijs)	(V)SO	Orion College West Locatie Zekeringstraat	Openbaar	School (VSO) voor leerlingen met communicatieve en auditieve problemen (REC, cluster 2)	Zekeringstraat 45	1014 BP	Amsterdam	Burgemeester Eliasstraat 76	1063EX Amsterdam	611 12 13		orioncollegewest@orion.nl	www.orioncollegeamsterdam.nl	dhr. C.  Tetteroo	Nieuw-West	20WQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20WQ00.htm
